


-----------------------------------------------
 Time_to_Death   Inverse K-M Cumulative Hazard 
--------------- -------------------------------
    0.5263                   0.005             

     1.053                  0.0101             

     2.105                  0.0151             

     3.75                   0.0202             

     4.342                  0.0253             

     4.704                  0.0305             

     4.835                  0.0356             

     6.283                  0.0408             

     6.612                   0.046             

     8.684                  0.0513             

     9.441                  0.0566             

     9.507                  0.0619             

     11.22                  0.0672             

     11.64                  0.0726             

     12.86                   0.078             

     13.85                  0.0834             

      15                    0.0888             

     15.62                  0.0943             

     16.58                  0.0998             

     16.61                  0.1054             

     16.88                  0.1109             

     17.01                  0.1165             

     17.76                  0.1222             

     17.86                  0.1278             

     20.39                  0.1335             

     21.55                  0.1393             

     21.61                  0.1393             

     22.5                   0.1393             

     23.42                  0.1451             

     23.75                   0.151             

     25.46                  0.1569             

     28.29                  0.1628             

     29.64                  0.1688             

     31.15                  0.1748             

     31.45                  0.1808             

     33.98                  0.1869             

     34.9                    0.193             

     35.56                  0.1992             

     37.27                  0.2054             

     38.06                  0.2116             

     38.36                  0.2179             

     38.75                  0.2242             

     39.05                  0.2305             

     39.44                  0.2369             

     40.1                   0.2433             

     41.64                  0.2498             

     44.11                  0.2563             

     44.31                  0.2629             

     47.01                  0.2695             

     47.6                   0.2761             

     48.75                  0.2828             

     49.08                  0.2895             

     49.41                  0.2963             

     49.61                  0.3031             

     50.92                   0.31              

     52.01                  0.3169             

     52.93                  0.3239             

     53.03                  0.3309             

     53.32                   0.338             

     54.08                   0.338             

     56.02                   0.338             

     57.63                  0.3452             

     58.06                  0.3452             

     59.05                  0.3525             

     60.95                  0.3525             

     61.64                   0.36              

     61.78                   0.36              

     64.74                   0.36              

     65.1                   0.3676             

     67.04                  0.3752             

     68.49                   0.383             

     69.87                  0.3907             

     70.26                  0.3907             

     71.09                  0.3907             

     71.25                  0.3987             

     72.53                  0.3987             

     73.39                  0.4068             

     73.52                  0.4068             

     73.68                  0.4068             

     74.34                  0.4068             

     74.67                  0.4068             

     75.76                  0.4153             

     76.45                  0.4153             

     76.51                  0.4153             

     77.73                   0.424             

     78.12                   0.424             

     78.16                   0.424             

     78.26                   0.424             

     78.52                   0.424             

     78.78                   0.424             

     78.88                   0.424             

     78.98                   0.424             

     79.18                   0.424             

     79.44                   0.424             

     79.67                   0.424             

     79.87                   0.424             

     80.13                   0.424             

     80.2                    0.424             

     80.36                   0.434             

     80.43                  0.4442             

     80.62                  0.4442             

     80.99                  0.4546             

     81.41                  0.4546             

     81.58                  0.4546             

     81.88                  0.4652             

     82.3                   0.4761             

     82.34                  0.4761             

     82.93                  0.4871             

     82.99                  0.4871             

     83.36                  0.4871             

     84.47                  0.4871             

     84.57                  0.4871             

     84.8                   0.4871             

     85.07                  0.4871             

     85.43                  0.4871             

     85.79                  0.4871             

     85.92                  0.4871             

     86.45                  0.4995             

     86.51                  0.5121             

     86.74                  0.5121             

     86.97                   0.525             

     87.04                   0.525             

     87.6                   0.5383             

     87.7                   0.5383             

     87.89                  0.5383             

     88.36                  0.5383             

     88.42                  0.5383             

     88.49                  0.5383             

     88.65                  0.5529             

     89.24                  0.5529             

     89.34                  0.5529             

     89.54                  0.5529             

     89.67                  0.5684             

     89.77                  0.5684             

     90.3                   0.5684             

     90.39                  0.5684             

     90.92                  0.5684             

     91.91                  0.5684             

     92.14                  0.5684             

     92.4                   0.5684             

     93.52                  0.5684             

     94.61                  0.5684             

     94.9                   0.5684             

     95.36                  0.5871             

     95.43                  0.6061             

     95.62                  0.6061             

     95.66                  0.6259             

     95.69                  0.6259             

     96.02                  0.6259             

     96.05                   0.647             

     96.61                   0.647             

     96.74                   0.647             

     98.62                  0.6694             

     99.54                  0.6694             

     99.8                    0.693             

     100.8                   0.693             

     100.9                   0.693             

     101.1                  0.7183             

     102.3                  0.7183             

     103.6                  0.7183             

     103.8                  0.7183             

      105                   0.7183             

     106.2                  0.7473             

     106.4                  0.7473             

     106.9                  0.7473             

     107.2                  0.7473             

     108.2                  0.7473             

     108.3                  0.7473             

     108.8                  0.7473             

     108.9                  0.7473             

     109.1                  0.7865             

     111.5                  0.7865             

     112.2                  0.7865             

     112.4                  0.7865             

     114.6                  0.7865             

     114.7                  0.7865             

