


--------------------------------------------------------------------
 Time_to_Death   Inverse K-M Cum. Hazard   Nelson_Aalen Cum. Hazard 
--------------- ------------------------- --------------------------
    0.5263                0.005                     0.005           

     1.053               0.0101                      0.01           

     2.105               0.0151                     0.0151          

     3.75                0.0202                     0.0202          

     4.342               0.0253                     0.0253          

     4.704               0.0305                     0.0304          

     4.835               0.0356                     0.0355          

     6.283               0.0408                     0.0407          

     6.612                0.046                     0.0459          

     8.684               0.0513                     0.0512          

     9.441               0.0566                     0.0564          

     9.507               0.0619                     0.0617          

     11.22               0.0672                     0.067           

     11.64               0.0726                     0.0724          

     12.86                0.078                     0.0778          

     13.85               0.0834                     0.0832          

      15                 0.0888                     0.0886          

     15.62               0.0943                     0.0941          

     16.58               0.0998                     0.0996          

     16.61               0.1054                     0.1051          

     16.88               0.1109                     0.1106          

     17.01               0.1165                     0.1162          

     17.76               0.1222                     0.1218          

     17.86               0.1278                     0.1275          

     20.39               0.1335                     0.1332          

     21.55               0.1393                     0.1389          

     21.61               0.1393                     0.1389          

     22.5                0.1393                     0.1389          

     23.42               0.1451                     0.1447          

     23.75                0.151                     0.1506          

     25.46               0.1569                     0.1564          

     28.29               0.1628                     0.1624          

     29.64               0.1688                     0.1683          

     31.15               0.1748                     0.1743          

     31.45               0.1808                     0.1803          

     33.98               0.1869                     0.1864          

     34.9                 0.193                     0.1925          

     35.56               0.1992                     0.1986          

     37.27               0.2054                     0.2048          

     38.06               0.2116                     0.211           

     38.36               0.2179                     0.2172          

     38.75               0.2242                     0.2235          

     39.05               0.2305                     0.2299          

     39.44               0.2369                     0.2362          

     40.1                0.2433                     0.2426          

     41.64               0.2498                     0.2491          

     44.11               0.2563                     0.2556          

     44.31               0.2629                     0.2621          

     47.01               0.2695                     0.2687          

     47.6                0.2761                     0.2753          

     48.75               0.2828                     0.282           

     49.08               0.2895                     0.2887          

     49.41               0.2963                     0.2955          

     49.61               0.3031                     0.3023          

     50.92                0.31                      0.3091          

     52.01               0.3169                     0.316           

     52.93               0.3239                     0.323           

     53.03               0.3309                     0.3299          

     53.32                0.338                     0.337           

     54.08                0.338                     0.337           

     56.02                0.338                     0.337           

     57.63               0.3452                     0.3442          

     58.06               0.3452                     0.3442          

     59.05               0.3525                     0.3515          

     60.95               0.3525                     0.3515          

     61.64                0.36                      0.3589          

     61.78                0.36                      0.3589          

     64.74                0.36                      0.3589          

     65.1                0.3676                     0.3665          

     67.04               0.3752                     0.3741          

     68.49                0.383                     0.3818          

     69.87               0.3907                     0.3895          

     70.26               0.3907                     0.3895          

     71.09               0.3907                     0.3895          

     71.25               0.3987                     0.3975          

     72.53               0.3987                     0.3975          

     73.39               0.4068                     0.4055          

     73.52               0.4068                     0.4055          

     73.68               0.4068                     0.4055          

     74.34               0.4068                     0.4055          

     74.67               0.4068                     0.4055          

